no,municipio,departamento,zona_sismo,zona_viento,notas
50,Cuilco,Huehuetenango,4,B,
51,Cunén,Quiché,3,B,
52,Cuyotenango,Suchitepéquez,4,A,
53,Dolores,Petén,2,B,
54,El Adelanto,Jutiapa,4,A,
55,El Asintal,Retalhuleu,4,A,
56,El Estor,Izabal,3,A,
57,El Jícaro,El Progreso,4,B,
58,El Palmar,Quetzaltenango,4,B,
59,El Progreso,Jutiapa,4,B,
60,El Quetzal,San Marcos,4,B,
61,El Rodeo,San Marcos,4,B,
62,El Tejar,Chimaltenango,4,B,
63,El Tumbador,San Marcos,4,A,
64,Escuintla,Escuintla,4,A,
65,Esquipulas,Chiquimula,3,B,
66,Esquipulas Palo Gordo,San Marcos,4,B,
67,Estanzuela,Zacapa,4,B,
68,Flores,Petén,2,B,
69,Flores Costa Cuca,Quetzaltenango,4,A,
70,Fraijanes,Guatemala,4,B,
71,Fray Bartolomé de las Casas,Alta Verapaz,3,B,
72,Génova,Quetzaltenango,4,A,
73,Granados,Baja Verapaz,4,B,
74,Gualán,Zacapa,4,B,
75,Guanagazapa,Escuintla,4,A,
76,Guatatoya,El Progreso,4,B,
77,Guatemala,Guatemala,4,B,
78,Guazacapán,Santa Rosa,4,A,
79,Huehuetenango,Huehuetenango,4,B,
80,Huitán,Quetzaltenango,4,B,
81,Huité,Zacapa,4,B,
82,Ipala,Chiquimula,3,B,
83,Ixcán,Quiché,3,B,
84,Ixchiguan,San Marcos,4,B,
85,Iztapa,Escuintla,4,B,
86,Jacaltenango,Huehuetenango,3,B,
87,Jalapa,Jalapa,4,B,
88,Jalpatagua,Jutiapa,4,A,
89,Jerez,Jutiapa,4,A,
90,Jocotán,Chiquimula,3,B,
91,Jocotenango,Sacatepéquez,4,B,
92,Joyabaj,Quiché,4,B,
93,Jutiapa,Jutiapa,4,B,
94,La Democracia,Escuintla,4,A,
95,La Democracia,Huehuetenango,4,B,
96,La Esperanza,Quetzaltenango,4,B,
97,La Gomera,Escuintla,4,A,
98,La Libertad,Huehuetenango,4,B,
99,La Libertad,Petén,2,B,
100,La Reforma,San Marcos,4,B,
101,La Unión,Zacapa,4,B,
102,Lanquín,Alta Verapaz,3,B,
103,Livingston,Izabal,4,A,
104,Los Amates,Izabal,4,A,
105,Magdalena Milpas Altas,Sacatepéquez,4,B,
106,Malacatán,San Marcos,4,A,
107,Malacatancito,Huehuetenango,4,B,
108,Masagua,Escuintla,4,A,
109,Mataquescuintla,Jalapa,4,B,
110,Mazatenango,Suchitepéquez,4,B,
111,Melchor de Mencos,Petén,2,B,
112,Mixco,Guatemala,4,B,
113,Momostenango,Totonicapán,4,B,
114,Monjas,Jalapa,4,B,
115,Morales,Izabal,4,A,
116,Morazán,El Progreso,4,B,
117,Moyuta,Jutiapa,4,A,
118,Nahualá,Sololá,4,B,
120,Nentón,Huehuetenango,3,B,
121,Nueva Concepción,Escuintla,4,A,
122,Nueva Santa Rosa,Santa Rosa,4,B,
123,Nuevo Progreso,San Marcos,4,B,
124,Nuevo San Carlos,Retalhuleu,4,A,
125,Ocós,San Marcos,4,A,
126,Olintepeque,Quetzaltenango,4,B,
127,Olopa,Chiquimula,3,B,
128,Oratorio,Santa Rosa,4,A,
129,Pachalum,Quiché,4,B,
130,Pajapita,San Marcos,4,A,
131,Palencia,Guatemala,4,B,
132,Palestina de Los Altos,Quetzaltenango,4,B,
133,Palín,Escuintla,4,A,
134,Panajachel,Sololá,4,B,
135,Panzós,Alta Verapaz,3,B,
136,Parramos,Chimaltenango,4,B,
137,Pasaco,Jutiapa,4,A,
138,Pastores,Sacatepéquez,4,B,
139,Patulul,Suchitepéquez,4,A,
140,Patzicía,Chimaltenango,4,B,
141,Patzité,Quiché,4,B,
142,Patzún,Chimaltenango,4,B,
143,Pochuta,Chimaltenango,4,B,
144,Poptún,Petén,2,B,
145,Pueblo Nuevo,Suchitepéquez,4,A,
146,Pueblo Nuevo Viñas,Santa Rosa,4,B,
147,Puerto Barrios,Izabal,4,A,
148,Purulhá,Baja Verapaz,4,B,
149,Quesada,Jutiapa,4,B,
150,Quetzaltenango,Quetzaltenango,4,B,
151,Quetzaltepeque,Chiquimula,3,B,
152,Rabinal,Baja Verapaz,4,B,
153,Raxruhá,Alta Verapaz,3,B,
154,Retalhuleu,Retalhuleu,4,A,
155,Río Blanco,San Marcos,4,B,
156,Río Bravo,Suchitepéquez,4,A,
157,Río Hondo,Zacapa,4,B,
158,Sacapulas,Quiché,4,B,
159,Salamá,Baja Verapaz,4,B,
160,Salcajá,Quetzaltenango,4,B,
161,Samayac,Suchitepéquez,4,B,
162,San Agustín Acasaguastlán,El Progreso,4,B,
163,San Andrés,Chimaltenango,4,B,
164,San Andrés,Petén,2,B,
165,San Andrés Sajcabajá,Quiché,4,B,
166,San Andrés Semetabaj,Sololá,4,B,
167,San Andrés Villa Seca,Retalhuleu,4,A,
168,San Andrés Xecul,Totonicapán,4,B,
169,San Antonio Aguas Calientes,Sacatepéquez,4,B,
170,San Antonio Huista,Huehuetenango,3,B,
171,San Antonio Ilotenango,Quiché,4,B,
172,San Antonio La Paz,El Progreso,4,B,
173,San Antonio Palopó,Sololá,4,B,
174,San Antonio Sacatepéquez,San Marcos,4,B,
175,San Antonio Suchitepéquez,Suchitepéquez,4,A,
176,San Bartolo,Totonicapán,4,B,
177,San Bartolomé Jocotenango,Quiché,4,B,
178,San Bartolomé Milpas Altas,Sacatepéquez,4,B,
179,San Benito,Petén,2,B,
180,San Bernardino,Suchitepéquez,4,A,
181,San Carlos Alzatate,Jalapa,4,B,
182,San Carlos Sija,Quetzaltenango,4,B,
183,San Cristóbal Acasaguastlán,El Progreso,4,B,
184,San Cristóbal Cucho,San Marcos,4,B,
185,San Cristóbal Totonicapán,Totonicapán,4,B,
186,San Cristóbal Verapaz,Alta Verapaz,3,B,
187,San Diego,Zacapa,4,B,
188,San Felipe,Retalhuleu,4,B,
189,San Francisco,Petén,2,B,
190,San Francisco El Alto,Totonicapán,4,B,
191,San Francisco La Unión,Quetzaltenango,4,B,
192,San Francisco Zapotitlán,Suchitepéquez,4,B,
193,San Gabriel,Suchitepéquez,4,B,
194,San Gaspar Ixchil,Huehuetenango,4,B,
195,San Ildefonso Ixtahuacán,Huehuetenango,4,B,
196,San Jacinto,Chiquimula,3,B,
197,San Jerónimo,Baja Verapaz,4,B,
198,San José (Escuintla),Escuintla,4,B,
199,San José (Petén),Petén,2,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
200,San José Acatempa,Jutiapa,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
201,San José Chacayá,Sololá,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
202,San José del Golfo,Guatemala,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
203,San José El Idolo,Suchitepéquez,4,A,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
204,San José La Arada,Chiquimula,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
205,San José Ojetenam,San Marcos,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
206,San José Pinula,Guatemala,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
207,San José Poaquil,Chimaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
208,San Juan Atitán,Huehuetenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
209,San Juan Bautista,Suchitepéquez,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
210,San Juan Chamelco,Alta Verapaz,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
211,San Juan Comalapa,Chimaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
212,San Juan Cotzal,Quiché,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
213,San Juan Ermita,Chiquimula,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
214,San Juan Ixcoy,Huehuetenango,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
215,San Juan La Laguna,Sololá,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
216,San Juan Ostuncalco,Quetzaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
217,San Juan Sacatepéquez,Guatemala,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
218,San Juan Tecuaco,Santa Rosa,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
219,San Lorenzo,San Marcos,4,B,"Hay dos municipios llamados 'San Lorenzo' (San Marcos y Suchitepéquez); el orden de las filas 219/220 en el PDF original es ambiguo (columna Departamento ausente); se infirió alfabéticamente. Ambos comparten zona_sismo=4 y zona_viento=B, así que no afecta el resultado de diseño."
220,San Lorenzo,Suchitepéquez,4,B,"Hay dos municipios llamados 'San Lorenzo' (San Marcos y Suchitepéquez); el orden de las filas 219/220 en el PDF original es ambiguo (columna Departamento ausente); se infirió alfabéticamente. Ambos comparten zona_sismo=4 y zona_viento=B, así que no afecta el resultado de diseño."
221,San Lucas Sacatepéquez,Sacatepéquez,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
222,San Lucas Tolimán,Sololá,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
223,San Luis,Petén,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
224,San Luis Jilotepeque,Jalapa,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
225,San Manuel Chaparrón,Jalapa,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
226,San Marcos,San Marcos,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
227,San Marcos La Laguna,Sololá,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
228,San Martín Jilotepeque,Chimaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
229,San Martín Sacatepéquez,Quetzaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
230,San Martín Zapotitlán,Retalhuleu,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
231,San Mateo Ixtatán,Huehuetenango,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
232,San Mateo,Quetzaltenango,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
233,San Miguel Acatán,Huehuetenango,3,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
234,San Miguel Chicaj,Baja Verapaz,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
235,San Miguel Dueñas,Sacatepéquez,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
236,San Miguel Ixtahuacán,San Marcos,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
237,San Miguel Panán,Suchitepéquez,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
238,San Miguel Petapa,Guatemala,4,B,Departamento no aparece en la página 134 del PDF original (defecto del documento fuente); completado mediante verificación externa (Wikipedia - Municipalities of Guatemala).
239,San Miguel Sigüilá,Quetzaltenango,4,B,
240,San Pablo,San Marcos,4,B,
241,San Pablo Jocopilas,Suchitepéquez,4,B,
242,San Pablo La Laguna,Sololá,4,B,
243,San Pedro Ayampuc,Guatemala,4,B,
244,San Pedro Carchá,Alta Verapaz,3,B,
245,San Pedro Jocopilas,Quiché,4,B,
246,San Pedro La Laguna,Sololá,4,B,
247,San Pedro Necta,Huehuetenango,4,B,
248,San Pedro Pinula,Jalapa,4,B,
249,San Pedro Sacatepéquez,Guatemala,4,B,
250,San Pedro Sacatepéquez,San Marcos,4,B,
251,San Pedro Soloma,Huehuetenango,3,B,
252,San Rafael La Independencia,Huehuetenango,3,B,
253,San Rafael Las Flores,Santa Rosa,4,B,
254,San Rafael Petzal,Huehuetenango,4,B,
255,San Rafael Pie de la Cuesta,San Marcos,4,B,
256,San Raymundo,Guatemala,4,B,
257,San Sebastián,Retalhuleu,4,A,
258,San Sebastián Coatán,Huehuetenango,3,B,
259,San Sebastián Huehuetenango,Huehuetenango,4,B,
260,San Vicente Pacaya,Escuintla,4,B,
261,Sanarate,El Progreso,4,B,
262,Sansare,El Progreso,4,B,
263,Santa Ana,Petén,2,B,
264,Santa Ana Huista,Huehuetenango,3,B,
265,Santa Apolonia,Chimaltenango,4,B,
266,Santa Bárbara,Huehuetenango,4,B,
267,Santa Bárbara,Suchitepéquez,4,A,
268,Santa Catalina La Tinta,Alta Verapaz,3,B,
269,Santa Catarina Barahona,Sacatepéquez,4,B,
270,Santa Catarina Ixtahuacán,Sololá,4,B,
271,Santa Catarina Mita,Jutiapa,4,B,
272,Santa Catarina Palopó,Sololá,4,B,
273,Santa Catarina Pinula,Guatemala,4,B,
274,Santa Clara La Laguna,Sololá,4,B,
275,Santa Cruz Balanyá,Chimaltenango,4,B,
276,Santa Cruz Barillas,Huehuetenango,3,B,
277,Santa Cruz del Quiché,Quiché,4,B,
278,Santa Cruz el Chol,Baja Verapaz,4,B,
279,Santa Cruz La Laguna,Sololá,4,100 kph,"El documento original (página 136) tiene literalmente '100 kph' en la columna zona de viento en vez de 'A' o 'B' — anomalía del documento fuente, no de la extracción. Verificar/decidir cómo tratarlo en la app (posiblemente equivalente a zona A dado que es una velocidad alta, pero no se asume sin confirmación)."
280,Santa Cruz Muluá,Retalhuleu,4,B,
281,Santa Cruz Naranjo,Santa Rosa,4,B,
282,Santa Cruz Verapaz,Alta Verapaz,3,B,
283,Santa Eulalia,Huehuetenango,3,B,
284,Santa Lucía Cotzumalguapa,Escuintla,4,A,
285,Santa Lucía La Reforma,Totonicapán,4,B,
286,Santa Lucía Milpas Altas,Sacatepéquez,4,B,
287,Santa Lucía Utatlán,Sololá,4,B,
288,Santa María Cahabón,Alta Verapaz,3,B,
289,Santa María Chiquimula,Totonicapán,4,B,
290,Santa María de Jesús,Sacatepéquez,4,B,
291,Santa María Ixhuatán,Santa Rosa,4,B,
292,Santa María Visitación,Sololá,4,B,
293,Santa Rosa de Lima,Santa Rosa,4,B,
294,Santiago Atitlán,Sololá,4,B,
295,Santiago Chimaltenango,Huehuetenango,4,B,
296,Santiago Sacatepéquez,Sacatepéquez,4,B,
297,Santo Domingo Suchitepquez,Suchitepéquez,4,B,
298,Santo Domingo Xenacoj,Sacatepéquez,4,B,
299,Santo Tomás La Unión,Suchitepéquez,4,B,
300,Sayaxché,Petén,2,B,
301,Senahú,Alta Verapaz,3,B,
302,Sibilia,Quetzaltenango,4,B,
303,Sibinal,San Marcos,4,B,
304,Sipacapa,San Marcos,4,B,
305,Siquinalá,Escuintla,4,A,
306,Sololá,Sololá,4,B,
307,Sumpango,Sacatepéquez,4,B,
308,Tacaná,San Marcos,4,B,
309,Tactic,Alta Verapaz,3,B,
310,Tajumulco,San Marcos,4,B,
311,Tamahú,Alta Verapaz,3,B,
312,Taxisco,Santa Rosa,4,A,
313,Tecpán Guatemala,Chimaltenango,4,B,
314,Tectitán,Huehuetenango,4,B,
315,Teculután,Zacapa,4,B,
316,Tejutla,San Marcos,4,B,
317,Tiquisate,Escuintla,4,A,
318,Todos Santos Cuchumatán,Huehuetenango,4,B,
319,Totonicapán,Totonicapán,4,B,
320,Tucurú,Alta Verapaz,3,B,
321,Unión Cantinil,Huehuetenango,4,B,
322,Uspantán,Quiché,3,B,
323,Usumatlán,Zacapa,4,B,
324,Villa Canales,Guatemala,4,B,
325,Villa Nueva,Guatemala,4,B,
326,Yepocapa,Chimaltenango,4,B,
327,Yupiltepeque,Jutiapa,4,B,
328,Zacapa,Zacapa,4,B,
329,Zacualpa,Quiché,4,B,
330,Zapotitlán,Jutiapa,4,B,
331,Zaragoza,Chimaltenango,4,B,
332,Zunil,Quetzaltenango,4,B,
333,Zunilito,Suchitepéquez,4,B,
334,Las Cruces,Petén,2,B,
